method,original_tokens,reduced_tokens,original_sentences,selected_sentences,candidate_sentences,reduction_pct,case_id,split
lexrank,28094,3498,1265,79,646,0.87548942834769,CJ-AL-0007,test
lexrank,26436,3500,1479,86,618,0.8676047813587532,CJ-AL-0020,test
lexrank,68998,3494,3638,65,650,0.9493608510391606,CJ-AR-0001,test
lexrank,71455,3497,5109,86,650,0.9510601077601287,CJ-AZ-0003,test
lexrank,15423,3499,934,92,523,0.7731310380600402,CJ-DC-0002,test
lexrank,18577,3496,1174,128,619,0.8118103030629273,CJ-GA-0015,test
lexrank,42367,3500,2731,90,643,0.9173885335284537,CJ-IL-0013,test
lexrank,7011,3493,354,119,219,0.5017829125659677,CJ-KS-0002,test
lexrank,10406,3495,593,89,311,0.6641360753411494,CJ-KY-0005,test
lexrank,33939,3494,2289,72,637,0.8970505907657856,CJ-LA-0009,test
lexrank,21875,3497,1478,103,624,0.8401371428571429,CJ-LA-0013,test
lexrank,283071,3498,22990,58,650,0.9876426762190404,CJ-MD-0001,test
lexrank,117705,3485,6104,50,650,0.9703920818996644,CJ-MD-0006,test
lexrank,90735,3491,4734,70,650,0.9615253209896952,CJ-MO-0005,test
lexrank,11613,3499,632,90,372,0.69869973305778,CJ-MO-0008,test
lexrank,89148,3500,7084,80,650,0.9607394445192264,CJ-MO-0018,test
lexrank,58147,3488,3520,67,640,0.9400141021892789,CJ-NJ-0003,test
lexrank,72052,3492,4550,79,650,0.9515350024981958,CJ-NY-0011,test
lexrank,58656,3498,2867,78,650,0.9403641571194763,CJ-OK-0006,test
lexrank,38379,3499,2126,96,632,0.9088303499309518,CJ-TN-0015,test
lexrank,724392,3499,26668,38,650,0.9951697423494461,CW-GA-0001,test
lexrank,430014,3499,17104,40,650,0.9918630556214448,CW-NJ-0002,test
lexrank,30717,3495,1546,75,635,0.886219357359117,CW-NY-0006,test
lexrank,24891,3497,1112,83,650,0.859507452492869,CW-SC-0001,test
lexrank,189978,3490,6812,41,650,0.9816294518312647,CW-SC-0002,test
lexrank,254817,3500,14286,46,650,0.9862646526723099,DR-CA-0033,test
lexrank,228660,3489,11974,46,650,0.9847415376541591,DR-CA-0040,test
lexrank,18319,3499,635,101,415,0.8089961242425896,DR-DC-0009,test
lexrank,85878,3498,4278,53,650,0.9592677985048558,DR-NY-0009,test
lexrank,11649,3498,820,106,388,0.6997167138810199,DR-NY-0017,test
lexrank,2357,2052,151,92,92,0.12940178192617735,ED-DC-0006,test
lexrank,5780,3500,298,113,206,0.39446366782006925,ED-DC-0007,test
lexrank,127373,3499,5084,46,650,0.9725294999725217,ED-LA-0003,test
lexrank,27524,3500,1246,71,622,0.8728382502543235,ED-MD-0002,test
lexrank,18391,3499,816,105,553,0.8097438964711,ED-MD-0004,test
lexrank,325446,3488,17743,43,650,0.9892824001524062,ED-MI-0001,test
lexrank,44456,3493,2596,95,650,0.921427928738528,ED-NY-0014,test
lexrank,14942,3498,1005,92,507,0.7658947932003748,ED-NY-0019,test
lexrank,94889,3499,4689,58,650,0.9631253359188104,ED-PA-0005,test
lexrank,208244,3499,13913,54,650,0.9831975951287912,ED-VA-0002,test
lexrank,5063,3497,279,126,184,0.3093027849101323,EE-CA-0087,test
lexrank,14071,3500,700,115,454,0.7512614597398906,EE-CA-0101,test
lexrank,6136,3498,309,126,202,0.4299217731421121,EE-CA-0161,test
lexrank,4978,3498,284,121,177,0.297308155885898,EE-CA-0222,test
lexrank,140439,3500,7588,59,650,0.9750781478079451,EE-CO-0063,test
lexrank,42487,3500,2877,93,637,0.9176218608044814,EE-CO-0069,test
lexrank,55542,3496,3070,67,650,0.9370566418206042,EE-DC-0033,test
lexrank,145206,3500,7800,56,650,0.9758963128245389,EE-DC-0051,test
lexrank,16795,3500,889,109,600,0.791604644239357,EE-FL-0162,test
lexrank,3880,2801,144,102,102,0.27809278350515465,EE-IL-0260,test
lexrank,4693,3497,270,134,187,0.2548476454293629,EE-IN-0131,test
lexrank,131486,3500,9559,58,650,0.9733811964771915,EE-KS-0026,test
lexrank,28334,3499,1976,113,624,0.876508788028517,EE-LA-0118,test
lexrank,111883,3499,5733,53,650,0.9687262586809435,EE-MD-0151,test
lexrank,65384,3500,3628,76,637,0.946470084424324,EE-MD-0153,test
lexrank,14168,3497,792,97,488,0.7531761716544325,EE-MO-0087,test
lexrank,11212,3500,639,85,345,0.6878344630752765,EE-NJ-0097,test
lexrank,13554,3499,959,157,565,0.7418474251143574,EE-NY-0293,test
lexrank,58550,3494,2981,63,640,0.9403245089666952,EE-NY-0298,test
lexrank,7399,3498,524,166,329,0.5272334099202596,EE-OH-0111,test
lexrank,47354,3499,3073,79,650,0.9261097267390295,EE-PA-0238,test
lexrank,11003,3500,715,111,381,0.6819049350177224,EE-TN-0103,test
lexrank,17669,3499,967,91,561,0.801969551191352,EE-TN-0145,test
lexrank,45656,3496,2469,75,635,0.9234273698966182,EJ-CA-0001,test
lexrank,234416,3499,13086,51,650,0.9850735444679544,EJ-DC-0001,test
lexrank,50546,3499,2914,71,647,0.930775926878487,FA-CA-0004,test
lexrank,102596,3477,5501,58,650,0.966109789855355,FA-DC-0001,test
lexrank,66912,3500,4069,64,641,0.9476924916307987,FA-DC-0004,test
lexrank,74942,3497,4464,67,644,0.9533372474713778,FA-DC-0005,test
lexrank,9244,3498,527,102,297,0.6215923842492428,FA-DC-0011,test
lexrank,12069,3500,821,115,426,0.7100008285690612,FA-DC-0012,test
